"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-30 3:25,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 3:35,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 3:45,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 3:55,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:05,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:15,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:25,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:35,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:46,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 4:56,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:06,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:16,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:26,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:36,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:46,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 5:56,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:06,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:16,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:26,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:36,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:46,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 6:56,43,54,15,12,0.5,False
FRC3,2021-04-30 7:06,40,53,17,12,0.5099999904632568,False
FRC3,2021-04-30 7:16,39,54,17,12,0.5099999904632568,False
FRC3,2021-04-30 7:26,37,53,18,12,0.5099999904632568,False
FRC3,2021-04-30 7:36,37,54,18,12,0.5,False
FRC3,2021-04-30 7:46,34,54,20,12,0.5,False
FRC3,2021-04-30 7:56,25,53,27,12,0.9100000262260437,False
FRC3,2021-04-30 8:06,34,54,20,12,0.9599999785423279,False
FRC3,2021-04-30 8:16,15,53,45,12,0.9800000190734863,False
FRC3,2021-04-30 8:26,13,52,52,13,0.9700000286102295,False
FRC3,2021-04-30 8:36,31,54,22,12,0.9800000190734863,False
FRC3,2021-04-30 8:46,17,53,40,12,0.9800000190734863,False
FRC3,2021-04-30 8:56,17,53,40,12,0.9800000190734863,False
FRC3,2021-04-30 9:06,22,53,31,12,0.9800000190734863,False
FRC3,2021-04-30 9:16,31,54,22,12,0.9599999785423279,False
FRC3,2021-04-30 9:26,28,54,24,12,0.8899999856948853,False
FRC3,2021-04-30 9:36,37,54,18,12,0.8199999928474426,False
